Mode        Frequency        Accuracy
1         0.8379471 GHz        6.76e-08
2         0.8379473 GHz        5.301e-08
3         1.05993 GHz        6.124e-09
4         1.059931 GHz        1.071e-10
5         1.059932 GHz        2.557e-11
6         1.12423 GHz        5.644e-08
7         1.124233 GHz        2.02e-10
8         1.29816 GHz        2.953e-07
9         1.298161 GHz        7.257e-10
10         1.351164 GHz        3.905e-07
11         1.351165 GHz        5.134e-09
12         1.545131 GHz        6.452e-07
13         1.545136 GHz        6.003e-08
14         1.545144 GHz        6.587e-07
15         1.545147 GHz        2.711e-08
16         1.675938 GHz        8.273e-07
17         1.67594 GHz        7.048e-07
18         1.675941 GHz        8.833e-07
19         1.675947 GHz        8.174e-07
20         1.675949 GHz        7.463e-09
21         1.675951 GHz        1.18e-08
22         1.717333 GHz        8.545e-07
23         1.717336 GHz        1.694e-08
24         1.717359 GHz        8.486e-07
25         1.717366 GHz        1.033e-08
26         1.835938 GHz        5.728e-08
27         1.835947 GHz        3.299e-07
28         1.835948 GHz        5.494e-07
29         1.835956 GHz        3.61e-08
30         1.83596 GHz        5.53e-07
